key,like_count,comment_count
nce1656882abb,266,10
na9ecd1a0bd6a,103,7
n590243aa6856,178,17
n5047c83be249,146,16
n66e942e5e8fa,208,29
n271b52e20262,222,33
nf9a19a216a41,183,11
naa0c9344f796,123,8
nce8652eef42a,195,40
nd665c1e3d0c6,175,32
n7b844f72602f,182,20
nf8dcf4896763,134,18
n041b0fc62cff,93,39
ncd00d6578ba5,123,35
n0ec10d143038,118,14
n740c0c883817,136,46
nfc75a50cb80e,165,28
n01db86a167bf,156,23
ne36dec085dce,110,24
nf874634f1aab,107,22
nf42d713bbd34,118,24
n984fa775048c,113,26
necfc72c9f11e,90,25
n3ad3fe2384bb,119,29
nac1466826e51,67,20
n613d61a3e1b4,145,23
n73fcc75b2b40,37,5
n0be704ce40b0,99,34
n1a686354d9bf,99,16
nef7df84d1772,101,24
n6603fdae0fff,75,32
n7fe5ca038874,100,18
n570f53354861,77,20
n36e9ae4af38f,72,32
n577b0ec171bd,78,35
n157880ac5581,60,23
nb1b0770486a0,96,21
nc496abe9cc9c,167,33
n999ebc5b4604,227,25
n58c282c03ac5,121,25
nd740954ee9ed,131,19
ne1d11ed2ec9a,47,10
n8c802a566996,160,24
n62a1fc9cf957,30,0
nd006a99305be,64,18
na437438e14e4,66,21
n0714629f53ad,140,22
n7eb3ccdb5eaf,85,35
nbae1972da67e,73,23
n9ed479c65416,82,26
n54699ff80408,68,19
n72c7e2349041,61,21
n91b4490d9a83,61,12
n0ff5a43b1427,63,18
n7dd760e35b71,86,22
nd1cf1ff37e08,75,19
n7c3cc073803e,98,26
n05c5142a8465,96,15
n8895d58e32b2,52,21
n18e44686780a,80,35
nc3792706faf9,91,26
n39fcc38409d0,26,8
n348d8f09974a,46,20
nf830525b9f54,49,28
na04d122b4afb,56,18
nad2c9b17742f,39,20
n1b2687e95af0,69,21
n253ec2640e8c,47,14
nc70d1b747237,53,26
nf36c245efd2b,50,14
ndfa6ecd781c3,69,20
n4e525dcad354,429,88
nfe793abeddd1,73,15
n5035e92b277f,61,16
n0dadea9c489a,50,14
n0f7a42900222,48,21
n04d09bf05142,44,7
ne9dfe536ec7f,40,9
n67670c7e7e76,48,16
ned4ec2b94f7c,59,12
n5e54792ba2bf,73,22
n404ad266b573,50,16
n72e65664ef80,37,17
n3a7c13e452b3,44,16
n047516f06276,73,21
n051d0e549f1d,43,12
n6909f8c7207d,66,21
n4ae8c4ed9e7a,23,13
ne7731ad90efa,67,24
nd80469d1947e,47,18
nde762466743c,42,17
n1bde1707ca2d,56,15
ne2611b85a295,48,8
nb038b9e85dee,52,21
n6501c5a26fdb,56,16
ndf9a7a653dd5,39,14
n9bfbc4d360c6,40,20
n9f599dd5fcd3,40,13
n5d900fa8a7fb,71,25
n6130bfa9e3e1,69,14
n81fcc71fe9b8,56,12
nd7e344de4d69,43,21
n896daf57dd52,53,19
ne2131d8b74cc,73,18
nccf1f3c7e88b,86,13
n8b1f022f5d66,50,13
ne22e83c7b1c7,53,11
nfc9e8ad8f9d6,53,10
n109c55c1818e,43,6
n5c377977ca73,50,12
nb8ca448e4984,41,14
n1a82a488102a,60,14
n6f57bf152f1e,66,14
ncd44f682a665,45,20
nc67272802d2e,69,9
nb657a7c15d1a,36,1
n661e61f2e712,47,6
n01151a4b5c9e,60,7
n39848d0c06a5,358,75
