comment_id,note_key,user_key,user_name,user_urlname,user_icon,commented_at,body
ncfaa199dd049f,nec69a95fc26e,aa396818ce9b68951cae09c5b738014e,Torori（とろり）🌱 毒親育ちへ「心穏やかな恋」を届ける人【フォロバ100】,torori_20260101,https://assets.st-note.com/production/uploads/images/242495675/profile_d6bfee66de6dbec64ca70c2649f987aa.png?fit=bounds&format=jpeg&quality=85&width=330,2026-02-25T12:40:08.230+09:00,"千住まいかさん

はじめまして🌱

フォローいただきありがとうございます。
NOTEで人とつながるのが毎日の楽しみなので、新しいご縁をいただけて嬉しいです。

けもみみさん、かわいいです・・✨️
AIが使いこなせると、色々自作できて楽しいですね～＾＾
私もAIを勉強しよう。。！

"
nc4963a6869b94,n5dcd7d35b46b,d21fad22ec0468dd53da3b6c08d20504,ほんだ  |  CAD  |  Lisp,honda_cadlisp,https://assets.st-note.com/production/uploads/images/262999433/profile_22d7f4c1ab13d88cfd3dcf2e1544818d.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-22T21:26:52.901+09:00,"千住さま
この度は当方の記事をご紹介いただき、ありがとうございました！
そしてこの度は2冠おめでとうございます！
そして、漫画用のキャラ設定のキメ細やかさ！　AIイラスト＆漫画の世界の奥の深さを感じます。取るべくして取られた2冠なのだと感服です！　私も見習わなくては…！
これからも応援させていただきます☺️"
ncd7f47536ae10,n5dcd7d35b46b,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-22T20:52:28.769+09:00,お疲れ様です投稿拝見しました。おめでとうございます。やったあああああああああああああ・自分のことにように嬉しいでっす。
nc03d751e6db66,n5dcd7d35b46b,48bc8f61b05eeab600bc1a15f8363e20,yukariyajp,brainy_thyme2046,https://assets.st-note.com/production/uploads/images/250966124/profile_e99d6edcbd65a3cef478331de0494c4a.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-22T19:19:42.263+09:00,"ご紹介いただきましてありがとうございます。
率直なところを、少し記載いたします。

うーむ・・・
さすがにすごいな・・・

正直そう思う。

私が描いている物語に、いくつかの鍵になる台詞がある。
本来、こういうことは筆者は書かない・・・・

が、まいかさんのいうことは、残念ながら・・・筆者はわかる・・・

筆者の決め台詞に、
「コノハは何かを知っている・・・」

がある。

コノハを、まいかに変えてみてほしい。

筆者は、そう思っている。
"
ncd22200924bb3,n5dcd7d35b46b,2421ebe01954dcf5b5a5b535a6b8fd2e,chintakaこと柊 聖月,drunk3405,https://assets.st-note.com/production/uploads/images/203018099/profile_dd4d0fb4bcbc3b644a7ecede39d24914.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-22T18:18:44.942+09:00,凄いですね。あやかりたい……、
nc627e9cf07766,n5371dee7e20e,1901997ee3ca40b9ed2155ccadb17509,人生崖っぷちから100日の軌跡,gakeppuchiojisan,https://assets.st-note.com/production/uploads/images/268851779/profile_a8f02e3ce18c8182a93551a5a5b4225d.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-21T17:51:30.152+09:00,スキありがとうございます！すごいですね👍自分は始めたばかりで知識のもノウハウもないので勉強になります📚
nc20b0dcf356d8,n5371dee7e20e,36c525c0be22a9506d05ecce1c7b5745,しおり,brainy_quoll4409,https://assets.st-note.com/production/uploads/images/267811139/profile_122f8e8ec44950f14b8ba8cb1d473301.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-20T15:29:22.054+09:00,"コングラボードおめでとうございます✨️✨️
レンチン！？すごすぎる…どんなコツを持ってらっしゃるのか…
私も早くそうなりたいです。頑張ります！
"
nca5cd18b9b400,n5371dee7e20e,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-19T20:42:33.751+09:00,"お疲れ様です。投稿拝見しました。おおおコングラボードおめでとうございます。
あと報告、この度有料記事購入されました。ありがとうございます。"
nc5e5e0af8a68c,n5371dee7e20e,35c83e4549c94d6ccc6184c2be32cf42,NOA＠全力でAIで遊ぶ人,77_noa,https://assets.st-note.com/production/uploads/images/249472811/profile_9a1e8ee4def7e48f9735046e99fd4853.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-19T20:19:24.113+09:00,"まいかさんコングラボードおめでとうございます(⌯'ᵕ'⌯)´-
コングラボードなるものの存在を初めて知りました(笑)
ご紹介もありがとうございます！
紹介してもらった以上これはズブズブに手法 磨きあげるしかないか！これは(･ω･三･ω･)ﾌﾝﾌﾝ"
nc5cfd6bfb47db,n5371dee7e20e,b8dc44dcc04c622735f4d093e54ecb7a,Joe Tsukasa,joe2x100,https://assets.st-note.com/production/uploads/images/239877323/profile_cae780f9afdc23cf73f91640b0a72e7b.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-19T19:09:40.728+09:00,"千住まいかさん✨こんばんは🎵
コングラボードおめでとうごさいます🏆
＆ご紹介ありがとうございます💕
可愛いと言ってもらえると励みになります✨"
