comment_id,note_key,user_key,user_name,user_urlname,user_icon,commented_at,body
nc7229cad868c6,nc5ae30b85408,704663f48a1e06dc09c61069a4dd39c8,紅茶🫖｜言葉で自分を整える人  ,usagi_no_mimi_,https://assets.st-note.com/production/uploads/images/260923743/profile_037296bb383b7b464cc7b599e5d67585.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-23T17:19:00.843+09:00,"よしひろさん、こんにちは。  

続ける中で気づけることって、
たしかにありますね😊  
読ませていただいて、
少し気持ちが軽くなりました。  

マガジンに追加してくださって、ありがとうございます🙏"
ncb69239ca042a,nc5ae30b85408,4fcff0dd196c58985b48a8f8a9724554,Grace Light ─ 星に導かれて,clean_kalmia940,https://assets.st-note.com/production/uploads/images/207757596/profile_ac58b5c0e389afdf3e43314b719edc42.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-23T13:21:44.470+09:00,"よしひろさん、はじめまして✨
マガジンへ追加していただき
ありがとうございます。
今この変化が加速している中で、
ご縁をいただき感謝いたします。
今後ともよろしくお願いいたします😊"
nca245115f9e4a,nc5ae30b85408,8e32bba995769924b693220e2673f27b,nikomiko,glad_quail4028,https://assets.st-note.com/production/uploads/images/197174907/profile_e1369791a3fb4525fb3c4f32237f9fdd.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-23T12:48:47.256+09:00,マガジンへの掲載ありがとうございます。
ncd0ecfd013891,nc5ae30b85408,8e32bba995769924b693220e2673f27b,nikomiko,glad_quail4028,https://assets.st-note.com/production/uploads/images/197174907/profile_e1369791a3fb4525fb3c4f32237f9fdd.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-23T11:51:05.860+09:00,"noteを始めて来月で1年を迎えます。
よしひろさんの記事を拝読して嬉しい気持ちになりました。

「変化を受け入れて続けることができます。」
そうだ・・何事も三日坊主だった私の変化にも気づくことが出来ました。"
ncea5effcbd615,nc5ae30b85408,23e78cfab6f2de9a5a72e4b8281e05ba,志乃,gay_okapi3125,https://assets.st-note.com/production/uploads/images/268823756/profile_e9ef06799c7db4afe68f70270567cd4f.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-23T09:43:49.201+09:00,"よしひろさん
スキ、マガジン追加
ありがとうございます😊
とても嬉しいです😃"
nc5104cb21c59e,nc5ae30b85408,7155a8ff1841fdcc0faf60bef6ac6d83,なぎ@還暦からのAIポートレイト,candeloro,https://assets.st-note.com/production/uploads/images/265293593/profile_2123f6c20e91f72cfc99e95447eb2234.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-23T09:33:21.825+09:00,"「できてること」に目を向けてもいい

なるほどです．
ほんのささやかなチャレンジで、
投稿をはじめてまだ三週間くらいですが、
始めてよかった、と感じさせてくれました．

背中をおしていただいたように感じております．
ありがとうございます．"
nca7c6a5d18379,nc5ae30b85408,1dd5cc6f11dc1d5e7c33c9ac01922824,keimama,keiko5066,https://assets.st-note.com/production/uploads/images/223953919/profile_de82aa306e133caf82b4ae253ad0173c.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-22T12:55:28.176+09:00,"よしひろさん😊
マガジン追加までありがとうございます✨
読んでいて、すごくハッとしました。
「新しいことを日常に取り入れる力」って、まさに今の自分たちそのものですね🍀できていないところばかり見てしまいがちですが、もうすでに積み重ねていることに目を向けていいんだなって思えました😊あたたかい気づきをありがとうございます✨"
ncbf83d4d76f6e,nc5ae30b85408,b6142bb7bba7964ab3acbde1fe1575d6,honsuki_note,honsuki_note,https://d2l930y2yx77uc.cloudfront.net/assets/default/default_profile_5-043439195e40e86fd7641a3a1daf982637d77ec6f14b67d3fc98ab92374404ac.png,2026-04-20T20:02:17.821+09:00,"よしひろさん、素敵なマガジンに
追加していただき、ありがとうございます😊とても嬉しいです😊"
nc66c3be8218b9,nc5ae30b85408,8d44ff930921cfa7df70bf675acdb279,カッパさん(あの頃の君達へ),1kappasan,https://assets.st-note.com/production/uploads/images/197000013/profile_8f16085208b5aaa6286257d620e11e69.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-20T14:38:44.448+09:00,"よしひろさんへ
マガジン追加ありがとうございます。よしひろさんのnoteは穏やかなでスッキリした気持ちになります。感謝です。"
nca5111c6e9f84,nc5ae30b85408,af1a1e912c637d9824038dce351f282d,営業パパ。＠5社経験してやっとわかった「幸せ。」,ttkkyuna,https://assets.st-note.com/production/uploads/images/255045390/profile_fd349797eb4f51fa3322f041cbae36ff.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-20T13:31:14.550+09:00,"よしひろさん

はじめまして。素敵なマガジンに追加くださりありがとうございます。

続けた人だけが気づける、自分がすでに持っている力って、本当にその通りだと思います。

まだまだ、noteを始めたばかりですが少しずつ記事を増やしていければと思いました✨

これからもよろしくお願いします。"
ncda2966811b66,nc5ae30b85408,1a296fbf5b0ace2b691f4281c2071b92,Rena,rena_hapiamomo,https://assets.st-note.com/production/uploads/images/232148347/profile_7270d520c58bcc8b8696550199442e83.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-19T22:47:03.414+09:00,"よしひろさん、はじめまして❇️🤗
このたびは、マガジンに追加していただき、ありがとうございます✨

とても嬉しいです🥰

変化するのってやっぱり怖いなと思うこともあるんですが、

これまでなかなか続かなかった自分が、noteは続けられていることに気づいて、少し自信を持ってもいいんだなって思えました🌸

素敵な記事をありがとうございます✨"
nc723867d68077,nc5ae30b85408,2b013056dfa044a77df01725b6f2439d,chikobonitaruburu82,regal_puma7239,https://assets.st-note.com/production/uploads/images/188831921/profile_419f45ed00ea21910827e7bb962362d5.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-17T20:07:50.363+09:00,"よしひろさん、こんばんわ。今日はマガジン追加に載せて頂き有難うございます。
AIの世界、日頃から色々感じております。首傾げることも有りますが有効にうまく活用出来れば素晴らしいですね。薬も効用と副作用があり近いものがあるかと個人的感想です。

"
ncec6b5cacc861,nc5ae30b85408,713c3616cbaa3eb3711bf4f872c77df7,パタコ,auwa_44,https://assets.st-note.com/production/uploads/images/249115541/profile_b8fef4c056391816907af1855f86eaf7.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-17T16:28:17.034+09:00,"よしひろさん、
はじめまして、パタコと申します。

この度はマガジンへ私の記事をお迎えしていただき、ありがとうございました😊

嬉しかったです。

ハートの絵がめっちゃキレイですね✨
見入っちゃいました🤭

こちらの記事もなるほど！と頷きながら読ませていただきました。
ありがとうございます。

これからもどうぞよろしくお願いします☺️"
nc41853138acaa,nc5ae30b85408,32a3d5ec7b1b7751c0635f2e47ea2b11,あん｜noteと遊ぶ,aging_gracefully,https://assets.st-note.com/production/uploads/images/238258843/profile_52f43522d9e7e75a12acd9d6da59035c.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-17T12:11:23.635+09:00,"よっしーさん

「新しいことを日常に取り入れる力」
確かにあります、即飛びつきます。
楽しいですよね

それと、よっしーさんのお礼メッセージ、好きです💞

"
nc0ea77ac6a5d2,nc5ae30b85408,785a188bfce11714cf9d90106cf46802,えん,clean_ixia7462,https://assets.st-note.com/production/uploads/images/253143198/profile_f1863c90e45c1f3ed78d50c5ba33e2b4.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-16T18:53:35.544+09:00,"よしひろさん
こんばんは。
マガジンへの追加ありがとうございます🙂‍↕️
この記事に勇気をもらいました。
それも、ありがとうございます✨"
ncd4bed779ba6e,nc5ae30b85408,3230acd73a454345c25d7cc7da2fd8b8,AYU,ayu760,https://assets.st-note.com/production/uploads/images/124260230/profile_7da754e5114659f81ebeca7786de3b0d.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-16T18:34:50.818+09:00,"よしひろさん✨こんばんは😊

こちらの記事に､とても共感しました！！😊👍✨
本当にそうだなぁ〜と思い､「うんうん」と頷きながら読ませていただきました！！😊✌️💞

また､今日は､私の記事を､よしひろさんのマガジンに追加してくださって、大変嬉しく思っています！！😊💞✨
本当にありがとうございます！！😊💞💞"
