key,like_count,comment_count
nfa8d47a22c3a,1489,783
nddae2ec6cfd5,106,29
n5dfb518baab7,247,48
nb3b9cbb4a737,208,52
nfd80c656988a,216,54
n88ddf717ce2c,314,67
ne43cb3fba091,304,69
n9bad659ca89e,308,91
n77445db7f934,321,105
n8f9cd2dfb931,316,59
nb73f812dc94b,305,54
n75c9acca8906,336,74
n7f33674dea29,315,156
n6e5830c9f6b1,271,64
n41083b9cd05f,286,0
n4c9d53c30171,220,32
n65fdb8b2a142,226,48
ne9c781a91e62,162,30
n4dfb45361feb,264,54
n53ff622191fd,321,56
n900ca451a86d,328,62
n46a609c5dfb9,295,52
ncdcdb643fe31,330,111
n378e8eef9539,341,94
n74774ca36809,235,36
n1f7cfeb6e705,386,102
n07f4fe321ee9,370,76
n4a2363bcd76b,345,89
n2bd2816b75b0,306,146
ncc1828affef3,270,77
nd85cc3ca9a61,273,66
n5305861820bd,388,89
n8d7224175057,325,62
n398f6a830c32,293,49
na67b129ad9ab,261,60
n30b16d04fff7,291,70
nceeb64ae9167,347,97
n9101ede99d42,456,100
nc29bea5f3ef9,304,54
n4c5e512dce6d,275,66
n3319ea5d2f50,336,103
n4a120a5df409,161,42
n8cac8598278c,296,67
n7b232e0c8d63,351,74
nb41e4b64d9ee,245,55
n244bce00bccf,240,52
n8e6e558e0595,262,47
n609d44cd15e5,247,34
nd3b15e59ffd1,365,76
n2d14f53155e6,218,25
n48c4608100d9,223,42
n2a270bf799c3,180,0
n4d3800af4fec,211,42
n83f6bf8f2527,261,88
nf9e7dc9d0dec,210,25
n9db8f945353b,186,34
n05634025d390,191,57
n59a70fbeb67a,177,40
nc007b3c4577e,209,41
ncca73c9e069e,194,33
n235d925a5733,190,37
n753f44f2642a,244,80
ndf2f4ec1381e,106,19
n6c645fd03f09,260,44
n826489058509,165,26
nea6ed669b0ad,166,22
n2ce43dd87720,229,31
nc01c20e50b5e,166,41
n145819a34ed7,173,32
n7d27101b9e5a,201,35
n5018e022e9c3,176,43
n1e459951b633,183,48
n713f83440209,165,31
nf2dd780a7a3c,178,36
n39eb8c620b77,169,26
n55b7233a87a3,169,24
n56879b196940,188,2
n3feb9e04e1cd,179,0
n9bedcbd8181d,139,10
n287917a0130f,198,32
n971012df4b85,158,14
n90b6a19ed9d3,149,14
n37e682fd1aa3,182,58
ndb70d4da27a8,191,36
n0df54ac918a6,200,14
ncb177b7b33c3,161,33
n265ca6931286,153,39
nee6c06cc3342,130,23
n1669a6f61369,129,33
neef45dcd37d2,143,13
n6c27514a7dd3,179,13
n67576d596a71,119,24
n2df4d30810a8,144,17
n32b5fa7a159b,138,18
n341e071cc412,111,27
n4ed9474db340,117,28
n0cd838543b93,192,47
n2067864fd814,127,19
n3aff8936873f,136,26
nb2a2de3ab99b,88,2
n6a3888057dce,130,18
n4128a8cc4153,125,12
nf700ae08b2db,132,23
n0cece0737829,119,8
nae4ce14c30f1,37,6
ncd29a54b2113,124,66
n105454312080,122,15
n4541817b68ed,113,24
n9220fdec29f5,98,11
n743d06846520,135,6
naa7c1fb821a3,97,4
n4648fe204e50,85,9
n1cb6f13b38fd,103,13
nf07ac3e657c6,94,11
n3d8786dc666d,90,8
n42a05083d8e0,79,7
n96deac8c8417,75,5
n074e267d7178,80,9
nf50f688f257e,81,2
nfad2f93ebe4b,80,4
ndb1ab566027b,97,4
n84b19ba710b0,83,0
n3afa1d36cc03,88,2
n3252b39e47ed,93,6
ne991d2421e89,90,8
n8008e59f6643,97,4
n9cd8fcd2e531,63,0
n5a06fe240b54,112,4
nfbe430624991,100,8
n0fe3fded2371,99,4
na6262d873092,101,6
nba63aa437592,69,6
nb9a4978a4726,75,9
nfab39dda53e7,75,4
na8e6946d9455,107,6
nb78ce9786dbe,59,2
ne4fe6760e482,79,6
n741cc8db34d0,79,6
nfd8e22b29741,133,13
nfbb1718416b6,47,4
ne172db67316f,32,0
na143a588dcb9,24,0
nfcf08d33b113,36,0
na883c2180138,25,2
n1c04940f4197,35,0
n7d9907612cb9,45,0
nddb2b534844d,36,0
n0fb73f8a4e06,33,0
nf4cd00f0999a,37,3
n31f7bce6754b,30,0
n3cd0aae2c4b8,43,0
nfc7d1a6db367,30,2
n2277f604f41d,26,0
n4d86b00e28f3,28,0
nb20effe2328b,30,2
n69de3fd21fca,50,0
n8b1f2760688e,44,0
n96e0791304e2,41,0
n4fabcb26ba10,85,8
nb589d734416a,29,0
n1d019f6a6f1f,33,2
n4cf6f88e86d7,32,0
n50176840f9cb,52,4
n9e249fb10e22,30,3
nbf0e3e2373ad,25,0
nfeb77588d190,23,0
n1bb1817ba7c6,40,0
n353f52f0658e,15,0
nb4d9b5e00b18,16,0
nbdea0ea358cb,15,2
n00cd7573b8e1,26,2
nc04c15ef1cb4,90,14
n156810369efa,18,0
na89c0aacea5b,16,2
n8745200a53f0,22,0
nb5e6c30144a1,21,0
n5e72e981cd15,15,0
n62b0919f6090,22,0
n29223d4b8ee8,17,0
n77810230d694,17,0
n050dce7566fc,33,0
nf891827149cb,146,2
n00cc70d931ae,17,2
nd9c2072edf52,16,0
n206aa9d08cff,14,0
n734b55dd5a9c,23,0
n9c627f34899b,24,2
n287e2c7dda75,17,0
na82887e8ebe4,17,0
ncd48d61be857,19,0
nd1447f432dd9,24,0
n334633f6f772,23,0
nf9523dbd4ed4,25,7
n9aac4f630a76,18,10
nd69090bd333e,20,0
ndaf922bd7b48,15,6
ndead67846708,29,0
n1fb2861a5d4a,33,0
n00bab4344eda,49,8
