key,like_count,comment_count
n7b870afefada,596,27
ncc8a3bb80b92,65,4
n07cc6ef7b32a,131,11
nf2b5673a4952,135,2
n8d31bfcda4f7,123,0
ne503d455a7e9,142,6
n49670878688d,125,8
n7df17805d19a,330,26
n4258bbc73a18,84,4
n4d867b4e2fb2,66,0
n6a00910e9faf,81,8
n6b6ca09e4bc7,66,0
na6303ccdd941,114,14
ndc9100c40efd,67,4
ncb32611853c1,124,4
nf1199f1f179b,87,2
ne2385bbc8220,59,0
n320c59f0b325,82,0
nd3a10135063c,52,2
n9cf1d345781a,43,2
n3ebad7b65d2d,40,4
ne561e7ac14b1,27,2
n5305cf0e4cef,33,2
nd367e4d62468,29,2
n576ccc6bec54,41,9
