key,like_count,comment_count
n904b07b475cf,404,25
ned31a9e2afe3,87,4
n4b96ae6ea3bb,87,6
naaa5c2e76c7d,87,1
nb583f77b1840,95,0
n4b94a179e9cc,93,0
n2fcc114b42d4,78,2
n010aec8f6e5e,72,2
n98261e71a25e,84,2
nc9fec2b8512e,90,0
n81947c0a36b0,80,2
nc041abf1f3d0,110,6
n40c7c22074c9,89,9
n747a10d98feb,70,0
n7f07e05809f0,82,2
ne124e70498d8,80,6
nc1e106ef56cc,60,2
nbe4009e6a3d5,65,4
n4a801c25c672,101,2
n89b5f5a7ea74,69,2
n77e971ad8f04,60,0
n461e9618e505,65,7
n68258d6129e7,65,0
n479a111769d7,82,2
n985ef570cd2b,40,2
n81024d4dd1c0,29,2
nfcaf250623c0,44,4
n0faff2d87e94,46,4
n4c4c85fe1411,37,2
n865ae90bc7ad,35,0
n481c287a7f01,49,2
n5fe6080e89b9,38,2
n0c5c75c26a86,35,3
nb8248ebf0b37,37,0
n0eb2d6020495,31,4
n66cd209bcdc6,30,0
nd5dc6f03c495,27,5
n94e3084a9257,22,0
necb23610f9d0,29,8
nc35268ed36c7,23,2
n750b45fcb313,36,2
n664560a07c5c,30,0
nbcdef3ca8056,25,6
n0e3656dc86f8,21,0
neef78b359c1a,20,2
na618d3cb5300,17,0
n0c9bac091695,21,0
nf7abed0d9022,11,0
ndac257bb0ce6,19,2
n1f56859f24c0,7,4
n0dfefbe06bf8,10,0
